"Movie.Name","Plot","dominant_topic"
"Remarkable Shades of Gay ","Remarkable Shades of Gay  :  Remarkable Shades of Gay is a compilation of nine short films shot by award winning LGBTQ director William Branden Blinn between 2008 and 2014. Included in the compilation are ""Thirteen or so Minutes..."" ""Chased"", ""Never or Now"", ""Without A Mom"", ""Triple Standard"", ""Toeing The Line"", ""A la Carte"", ""Truth or Dare"", and ""He She We"".","Western and Adventure"
"Z Foundation Earth ","Z Foundation Earth  :  The movie is about a secret organization that the FBI is investigating because the leader of the organization wrote a letter to the white house saying he was going to kill the president. Some friendly aliens come down to earth to warn the president of a attack from outer space. The organization, aliens, and the us navy will defend the earth against the oncoming attack from outer space","Urban Life and Conflict"
"Reversion ","Reversion  :  After she is murdered, a white female detective goes covertly undercover by having her memories uploaded into the body of a black man in order to infiltrate the criminal syndicate responsible for her death. Meanwhile, another copy of her memories are uploaded into a new body, tasked with bringing down the very same syndicate.","Family and Struggles"
"Company of Heroes: Opposing Fronts ","Company of Heroes: Opposing Fronts  :  Company of Heroes: Opposing Fronts is the next chapter in the critically acclaimed Company of Heroes series. Players can now take command of the German Panzer Elite as they defend the Fatherland against the forces of Operation Market Garden, or lead the British 2nd Army in their struggle to liberate the city of Caen.","Urban Life and Conflict"
"Affectionately Yours, Screwtape: The Devil and C.S. Lewis ","Affectionately Yours, Screwtape: The Devil and C.S. Lewis  :  Did God give each person free will? Who is Satan? Can good truly overcome evil? Consider these questions and more as we journey inside the mind of C.S. Lewis in this introductory review of one of the great Christian literary works of the 20th century. The Screwtape Letters, a thin volume of imaginative letters between two devils, has given millions of readers insight into conquering everyday spiritual struggles. Join us as we explore the Biblical, historical and cultural depictions of Satan and hell and gain a deeper understanding of the nature of temptation and redemption. Whether you're a devoted C.S. Lewis fan or just reading his work for the first time, you're sure to develop a new appreciation for The Screwtape Letters through this modern look at his timeless classic.","Holidays and Romance"
"ISIS: Enemies of Humanity ","ISIS: Enemies of Humanity  :  ISIS Enemies of Humanity is an upcoming International Film based on terrorism. The film is releasing in 2017 across the globe. The subject of the movie is very intense in nature. The need of the hour is to understand the mindset behind the terrorist attacks across the globe. The recent attacks in London, Turkey, France, India and others have been very fearsome. The global audience needs to understand the psyche behind ISIS. Why? Who? When? How? these questions about terrorists trouble us immensely. We need to eradicate this fear.We need to bring humanity to the fore. The film ISIS Enemies of Humanity brings this burning topic to the world.Watch out for the film .Coming Soon.","Fantasy and Quest"
"The Silent Force ","The Silent Force  :  An elite Federal force whose objective is to eliminate organized crime is violently assassinated by an evil Asian crime lord. The sole survivor of the group teams up with his late partner's widow to strike back at the crime lord and his son.","Holidays and Romance"
"""The Re-Inventors"" ","""The Re-Inventors""  :  For centuries the high ground and the ability to attack from above held military advantages. Now, The Re-Inventors have found an invention that would allow a commander to launch an attack from the sky, and rain down explosive fire-arrows on a helpless enemy! Join Matt and Jeremy as they combine13th century Chinese fire arrow technology with a 17th century Japanese kite design to see if they can command the battlefield with this amazing device.","History and Art"
"Thieves of Fortune ","Thieves of Fortune  :  In this action-packed romantic adventure story, a beautiful woman must perform feats of bravery in order to inherit a $28 million fortune and win the man she loves. Lots of stunts featuring planes, motorcycles, cliff diving, alligator wrestling and gun battles.","Family and Struggles"
"In Search of History: The Night Tulsa Burned ","In Search of History: The Night Tulsa Burned  :  Long-buried tale of the tragic hours that brought Greenwood to a fiery end, and the misunderstanding that started when a white elevator operator accused 19-year-old Greenwood resident Dick Rowland of assault prompted the violent race riot. Eyewitness accounts, archival film, and dramatizations recount the 1921 race riots in Tulsa.","History and Art"
"Kingdom: Fall of Illandrieal ","Kingdom: Fall of Illandrieal  :  Kingdom: The Fall of Illandrieal is an Action, Fantasy Adventure Movie, that follows the quest of a group of commoners on a journey across many Kingdoms to raise an army able to defeat the evil Legion. Follow Balfour and his group of friends as they risk it all, encountering strange creatures and deadly terrain as they make their way to their destination avoiding the Legion at all costs.","Urban Life and Conflict"
"The Testing Block ","The Testing Block  :  The tough outlaw 'Sierra' Bill falls in love with the traveling girl violinist Nelly Gray. Sierra forces her into marrying him. They have a child, but family life is interrupted by the gambler Ringe, who not only persuades Nelly to leave her husband but ruins Sierra at the gaming table. With thoughts of vengeance, the angry Sierra breaks out of jail and goes after Ringe.","Holidays and Romance"
"Saga of a Crew 2008 Special Edition ","Saga of a Crew 2008 Special Edition  :  The Earth 3rd Expeditionary Fleet in search of new resources suffers a mishap and the Commanding Admiral must dispatch a hastily assembled 3 man team on a desperate mission to an uncharted region of space to obtain a vitally needed material for the ship's generators. The 3 man crew aboard 2 spacecraft crash land on a desolate planet, where they struggle to repair the damaged spacecraft and complete their mission before time and sanity run out.","War and Humanity"
"Children of Others ","Children of Others  :  A barren woman finally conceives with the help of a mysterious fertility clinic, only to discover that she is bearing a hybrid alien baby. Fleeing from pursuing agents, she has to decide if her newborn child is the precursor to an alien invasion or the only hope of mankind.",NA
